Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building,Length of Lease (Date), Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Organization Mission,Funded by A&C,Funded by 4Culture,"Stability Index (5=very stable, 1=very uncertain)","Control Index (5=very in control, 1 = very out of control) ",Constituency over 50% one race,Specific Demographics and Community,Organization Leadership,Organization Artists,Closed Date,Closed?,Address,Location,Latitude,Longitude
SPLAB Seattle Poetics LAB,(206) 422-5002,http://www.splab.org,150,Columbia City,Y,Literary,2015,R,2015,2017,1993,2,0,0,N,0,Y,,N,No,N,"The SPLAB mission is to present poetry events, develop the audience and resources to support poetry, lead a bioregional cultural investigation using poetics and poetry festivals as main methodologies and build community through shared experience of the spoken and written word.",P,,3,3,Low Income,Low Income,Yes,Yes,,,4801 Rainier Ave S,"(47.559143, -122.286751)",47.559143,-122.286751
University of Washington Health Sciences Library,(206) 543-3390,www.hsl.uw.edu,10000,University District,Other,Multi-use,1940,O,1940,,1940,0,,,N,0,Partial,,Y,Y,N,,N,,5,,,,,,,0,1959 NE Pacific St Room T-334 Seattle WA 98195,"(47.649921, -122.306355)",47.649921,-122.306355
The Stranger,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,1535 11th Ave (Third Floor) Seattle WA 98122,"(47.614554, -122.318207)",47.614554,-122.318207
Rainier Beach Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,8825 Rainier Ave S Seattle WA 98118,"(47.524445, -122.2705)",47.524445,-122.2705
Shift Gallery,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,312 S Washington St,"(47.601005, -122.329617)",47.601005,-122.329617
Rainier Chapter House DAR,(206) 323-0600,www.rainierchapterhouse.com,9225,Capitol Hill,Y,Multi-use,1925,O,1925,0,1894,0,1,200,N,0,Y,5,Y,Y,Y,,N,,4,,,,,,,0,800 East Roy St Seattle WA 98102,"(47.62532335, -122.3220406)",47.62532335,-122.3220406
Gallery Frames,,,,Pioneer Square,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,625 1st Ave #100 Seattle WA 98104,"(47.602364, -122.334595)",47.602364,-122.334595
Arts West,(206) 938-0339,www.artswest.org,12680,West Seattle,Y,Multi-use,1998,O,1928,0,1998,0,1,149,Y,900,Y,0,Y,,Y,,Y,,4,,,,,,,0,4711 California Ave SW Seattle WA 98116,"(47.5607163, -122.3871398)",47.5607163,-122.3871398
Bremelo Press,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,1400 S. Jackson Place Seattle WA 98144,"(47.598796, -122.313501)",47.598796,-122.313501
Full Tilt Ballard,(206) 297-3000,www.fulltilticecream.com,1300,Ballard,N,Performance,2008,R,,2021,2008,0,0,0,Y,,Y,0,Y,Y,Y,,N,,5,,,,,,,0,5453 Leary Ave NWâ€Ž Seattle WA 98107,"(47.6679185, -122.3838941)",47.6679185,-122.3838941
Davidson Galleries,(206) 624-7684,www.davidsongalleries.com,4134,Pioneer Square,N,Visual,1986,R,1896,,1973,7,0,0,Y,3125,Partial,0,Y,N,Y,,N,,4,,,,,,,0,313 Occidental Ave S Seattle WA 98104,"(47.5995312, -122.3331168)",47.5995312,-122.3331168
Photographic Center Northwest,(206) 720-7222,www.pcnw.org,10440,Capitol Hill,Y,Visual,1997,O,1923,0,1983,3,0,0,Y,343,Y,25,Y,N,N,,Y,,2,,,,,,,0,900 12th Ave Seattle WA 98122,"(47.61056225, -122.3163719)",47.61056225,-122.3163719
Filipino Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,5740 Martin Luther King Jr Way Seattle WA 98118,"(47.550125, -122.287086)",47.550125,-122.287086
All Pilgrims Christian Church,(206) 322-0487,http://www.allpilgrims.org/,,Capitol Hill,,Multi-use,,,,,,,,,,,,,,,,,,,,,,,,,,0,500 Broadway E Seattle WA 98102,"(47.62336, -122.320374)",47.62336,-122.320374
Landmark Varsity Theatre,,,,,,Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,0,4329 University Way NE Seattle WA 98105,"(47.6607139, -122.3135097)",47.6607139,-122.3135097
Seattle Center Seattle Repertory Theatre at Leo K,(206) 443-2222,www.seattlerep.org,65000,Seattle Center in Uptown,Y,Performance,1983,Other,1983,2026,1963,1,2,1126,N,0,Y,23,Y,Y,Y,,Y,,5,,,,,,,0,155 Mercer St Seattle WA 98109,"(47.62384645, -122.3535963)",47.62384645,-122.3535963
Kate Alkarni Gallery,(206) 453-0043,www.katealkarnigallery.com,1500,Georgetown,N,Visual,2012,R,1968,2014,2012,0,0,0,Y,1500,Y,,Y,N,Y,,N,,4,,,,,,,0,5701 6th Ave S Atrium Suite 221 Seattle WA 98108,"(47.5514664, -122.3283134)",47.5514664,-122.3283134
A Contemporary Theatre (ACT),(206) 292-7660,www.acttheatre.org,21360,Downtown,Y,Performance,1995,Other,1926,0,1965,1,5,1153,N,0,Y,0,Y,Y,Y,,Y,,5,,,,,,,0,700 Union St Seattle WA 98101,"(47.6108495, -122.3323316)",47.6108495,-122.3323316
Makerhaus,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,122 NW 36th St Seattle WA 98107,"(47.6534516, -122.3585927)",47.6534516,-122.3585927
Works Progress,(206) 466-1624,www.worksprogressseattle.com,1200,Greenwood,N,Live/Work,2012,R,1968,2017,2012,1,0,0,Y,600,N,7,Y,Y,N,,N,,1,,,,,,,0,115 N 85th St #202 Seattle WA 98103,"(47.6903817, -122.3573889)",47.6903817,-122.3573889
Jeffrey Moose Gallery,(206) 467-6951,www.jeffreymoosegallery.com,2400,Downtown,N,Visual,1995,R,1972,It's month-to-month.,1992,2,0,0,Y,2000,Y,80,N,N,Y,,N,,2,,,,,,,0,1333 5th Ave # 2 Seattle WA 98101,"(47.6091917, -122.3345412)",47.6091917,-122.3345412
Arthur Murray Dance Studio,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,130 Western Ave W Seattle WA 98119,"(47.6194127, -122.3583566)",47.6194127,-122.3583566
Queen Anne Book Company,,,,,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,1811 Queen Anne Avenue North Seattle WA 98109,"(47.635185, -122.357361)",47.635185,-122.357361
Glasshouse Studio,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,311 Occidental Ave S,"(47.599554, -122.333279)",47.599554,-122.333279
Satori Lab in Inscape,(513) 600-0815,www.satori-group.com,,International District,Y,Performance,2012,R,1932,2019,2007,1,1,75,Y,400,Y,0,N,Y,Y,,Y,,4,,,,,,,0,815 Seattle Blvd S Seattle WA 98134,"(47.59511695, -122.3270859)",47.59511695,-122.3270859
Tasty Gallery,(206) 706-3020,www.shoptastyart.com,1000,Greenwood,N,Visual,2009,R,,It's month to month.,2009,0,0,0,Y,1000,,0,Y,N,N,,N,,3,,,,,,,0,7513 Greenwood Ave N Seattle WA 98103,"(47.683737, -122.3555197)",47.683737,-122.3555197
Center for Wooden Boats Wallingford,(206) 382-2628,www.cwb.org,6000,Wallingford,Y,Heritage,2011,R,1927,2016,1977,1,0,0,Y,,Partial,8,Y,N,Y,,Y,,2,,,,,,,0,1475 N Northlake Place Seattle WA 98103,"(47.64632043, -122.3381967)",47.64632043,-122.3381967
Showbox SODO,(206) 628-3151,www.showboxpresents.com,22000,SODO,N,Performance,2007,R,,2022,2007,0,1,1800,N,0,Partial,16,Y,N,Y,,N,,1,,,,,,,0,1700 1st Ave South Seattle WA 98134,"(47.5878916, -122.3339403)",47.5878916,-122.3339403
New Orleans Creole Restaurant + Jazz Music (CLOSED),,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,2014-08-01T00:00:00.000,1,114 First Ave S Seattle WA 98104,"(47.5965162, -122.3341906)",47.5965162,-122.3341906
Art/Not Terminal Gallery,(206) 233-0680,www.antgallery.org,3280,Queen Anne,Y,Visual,1993,R,1920,2015,1988,1,0,0,Y,3280,Partial,0,Y,Y,N,,N,,2,,,,,,,0,"305 Harrison St, Seattle, WA 98109","(47.62198, -122.35166)",47.62198,-122.35166
Milagros Mexican Folk Art Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,Pike Place Market 1530 Post Alley Seattle WA 98101,"(47.609297, -122.341213)",47.609297,-122.341213
Hanson Scott Gallery,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,121 Prefontaine Pl S Seattle WA 98104,"(47.6011373, -122.3295897)",47.6011373,-122.3295897
Electric Coffin Studio,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,2629 NW Market St Seattle WA 98107,"(47.66858144, -122.3907201)",47.66858144,-122.3907201
Washington Lawyers for the Arts,(206) 328-7053,www.thewla.org,200,Downtown,Y,Arts/Cultural Administration or Advocacy,2011,Other,1985,,1976,2,0,,N,,Y,0,N,N,Y,,N,,3,,,,,,,0,701 5th Ave. Suite 4100 Seattle WA 98104,"(47.604548, -122.329935)",47.604548,-122.329935
The Dreaming Comics and Games,,,,,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,5226 University Way NE Seattle WA 98105,"(47.667054, -122.313051)",47.667054,-122.313051
Cornish College of the Arts- Notion,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,1001 Lenora St Seattle WA 98121,"(47.6178924, -122.3357243)",47.6178924,-122.3357243
Seattle's Performers LLC,(206) 473-9580,www.seattleslittlestperformers.com,850,University District,N,Arts/Cultural Training or Education,2014,R,1956,2016,2010,1,0,,I don't know.,,Partial,0,I don't know.,Y,N,,N,,4,,,,,,,0,5214 University Way NE Seattle WA 98105,"(47.6669041, -122.3127673)",47.6669041,-122.3127673
History House of Greater Seattle,,,,,,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,0,790 N 34th St Seattle WA 98103,"(47.649347, -122.348076)",47.649347,-122.348076
Pegasus Book Exchange,,,,,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,4553 California Ave SW Seattle WA 98116,"(47.561455, -122.387177)",47.561455,-122.387177
Barnes & Noble -Northgate,,,,Northgate,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,401 NE Northgate Way #1100 Seattle WA 98125,"(47.7083148, -122.3281769)",47.7083148,-122.3281769
City Arts Magazine/Encore Media Group,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,425 N. 85th St Seattle WA 98103,"(47.690365, -122.352966)",47.690365,-122.352966
Seattle Public Library Columbia,(206) 386-1908,www.spl.org,12420,Columbia City,Y,Literary,1914,Other,1915,0,1913,0,0,0,N,0,Y,,Y,Y,Y,,Y,,5,,,,,,,0,4721 Rainier Ave S Seattle WA 98118,"(47.55990535, -122.2869601)",47.55990535,-122.2869601
Stormy Muffin Studios,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,219 1st Avenue S #B1 Seattle WA 98104,"(47.600216, -122.334579)",47.600216,-122.334579
Russian Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,704 19th Ave E Seattle WA 98112,"(47.625474, -122.30732)",47.625474,-122.30732
Couth Buzzard Books,,,,,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,8310 Greenwood Ave N Seattle WA 98103,"(47.689507, -122.35495)",47.689507,-122.35495
Venue Ballard,(206) 789-3335,www.venueballard.com,2000,Ballard,N,Visual,2005,R,2005,2018,2005,0,0,0,Y,1800,Y,0,Y,Y,N,,N,,5,,,,,,,0,5408 22nd Ave NW Seattle WA 98107,"(47.667813, -122.384795)",47.667813,-122.384795
KUOW Puget Sound Public Radio,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,4518 University Way NE Suite 310 Seattle WA 98105,"(47.661858, -122.31279)",47.661858,-122.31279
Comet Tavern,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,922 E Pike St Seattle WA 98122,"(47.6142655, -122.3197336)",47.6142655,-122.3197336
The Weaving Works,(206) 524-1221,www.weavingworks.com,2800,Ravenna,N,Service/Supply,2014,R,1920,2020,1974,2,0,0,N,0,Y,0,Y,I don't know.,N,,N,,1,,,,,,,0,6514 Roosevelt Way NE Seattle WA 98115,"(47.676398, -122.31739)",47.676398,-122.31739
Bookworm Exchange,,,,,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,5800 Rainier Ave S Seattle WA 98118,"(47.550287, -122.277273)",47.550287,-122.277273
Seattle Public Library Madrona,(206) 684-4705,www.spl.org,1707,Madrona,Y,Literary,1972,Other,1973,0,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,,5,,,,,,,0,1134 33rd Ave Seattle WA 98122,"(47.61269145, -122.2900131)",47.61269145,-122.2900131
Early Music Guild,(206) 325-7066,www.earlymusicguild.org,518,Eastlake,Y,Music,1995,R,1960,2015-06-30T00:00:00.000,1978,2,0,0,N,,Y,2,N,N,Y,,Y,,4,,,,,,,0,2366 Eastlake Ave E #325 Seattle WA 98102,"(47.641225, -122.325897)",47.641225,-122.325897
Frederick Holmes and Company,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,309 Occidental Ave S,"(47.59954, -122.332688)",47.59954,-122.332688
Taproot Theatre,(206) 781-9707,www.taproottheatre.org,22000,Greenwood,Y,Performance,1997,O,1930,0,1976,3,2,346,N,0,Y,1,Y,,Y,,Y,,5,,,,,,,0,204 N 85th St Seattle WA 98103,"(47.6908412, -122.3562513)",47.6908412,-122.3562513
Leif Erikson Lodge Sons of Norway,,,,,,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,0,2245 NW 57th St Seattle WA 98107,"(47.669819, -122.386803)",47.669819,-122.386803
BallardWorks LLC,(206) 784-9987,http://www.ballardworks.com/,14000,Ballard,Other,Studios,2004,O,1961,,2003,0,0,,Y,501,Partial,6,Y,Y,N,,N,,5,,,,,,,0,2856 NW Market St Seattle WA 98107,"(47.6688915, -122.3954081)",47.6688915,-122.3954081
Southside Commons,206-568-5400,http://southsidecommons.org/,8060,Columbia City,Y,Multi-use,2009,O,1907,,2009,0,0,0,N,,Y,9,Y,Y,N,,N,,5,,,,,,,0,3518 S Edmunds St Seattle WA 98118,"(47.558868, -122.287971)",47.558868,-122.287971
James Harris Gallery,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,604 2nd Ave,"(47.602604, -122.33232)",47.602604,-122.33232
Egg Studios/Popllama Products,,www.eggstudios.net,750,Ravenna,N,Music,1988,O,1929,0,1981,1,0,0,N,0,,1,Y,N,N,,N,,5,,,,,,,0,,,,
ID/Chinatown Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,719 8th Ave S Seattle WA 98104,"(47.596419, -122.322446)",47.596419,-122.322446
Massive Monkees Studios,,www.massivemonkees.com,2200,Chinatown International District,N,Performance,2013,R,1950,2015,2001,0,0,0,Y,200,Partial,0,Y,Y,N,,N,,3,,,,,,2020-12-20T00:00:00.000,1,664 S King St Seattle WA 98104,"(47.598602, -122.324135)",47.598602,-122.324135
Ballard Academy of Music & Dance,,,,Loyal Heights,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,N,,,,,,,,,0,2404 NW 80th St Seattle WA 98117,"(47.6869229, -122.3878221)",47.6869229,-122.3878221
Prole Drift,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,523 S. Main St Seattle WA 98104,"(47.59985, -122.32669)",47.59985,-122.32669
7 Point Studio and The Boro School,(206) 284-5277,www.7pointstudios.com,18000,Chinatown International District,N,Visual,2013,R,1932,2022,2013,3,0,0,Y,5000,N,8,Y,Y,N,,N,,3,,,,,,,0,1300 S Dearborn St Seattle WA 98144,"(47.596252, -122.315567)",47.596252,-122.315567
Emeralda Works,(206) 498-9208,www.printmakingworld.com/emeralda,310,Capitol Hill,N,Arts/Cultural Training or Education,2008,O,2009,,1999,3,0,,Y,300,N,2,Y,N,N,,N,,3,,,,,,,0,500 Aloha St #105 Seattle WA 98109,"(47.627403, -122.347137)",47.627403,-122.347137
Southwest Seattle Historical Society,206-938-5293,http://www.loghousemuseum.info,1100,Alki,Y,Heritage,1997,O,1904,,1984,0,1,20,Y,630,Y,23,Y,N,N,,N,,5,,,,,,,0,3003 61st Ave SW Seattle WA 98116-2810,"(47.577553, -122.41095)",47.577553,-122.41095
Globe Gallery,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,105 S Main St,"(47.59975, -122.333743)",47.59975,-122.333743
Northwest Tap Connection,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,8732 Rainier Ave S Seattle WA 98118,"(47.5243382, -122.2695039)",47.5243382,-122.2695039
University of Washington Jones Playhouse,(206)543-4880,www.depts.washington.edu/uwdrama/performances/venues.shtml,8000,University District,,Performance,1938,Other,1930,0,1937,0,1,180,N,0,Partial,,Y,N,N,,N,,5,,,,,,,0,4045 University Way NE Seattle WA 98105,"(47.6566657, -122.3135544)",47.6566657,-122.3135544
ARC Dance,(206) 352-0798,www.arcdance.org,9000,Crown Hill,Y,Performance,2004,R,1950,2023,1998,0,1,150,N,0,Y,0,Y,Y,N,,N,,3,,,,,,,0,9250 14th Ave NW Seattle WA 98117,"(47.6973909, -122.3736435)",47.6973909,-122.3736435
Seattle Eagle Tavern,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"(47.614323, -122.327164)",47.614323,-122.327164
Macabee Martial Arts Seattle,(206) 979-0459,http://www.macabeeseattle.com,300,Hillman City,N,Arts/Cultural Training or Education,2012,R,1960,0,2016,0,0,0,N,0,N,,N,No,N,Train all ages in traditional Kung fu and self defense.,N,,2,1,Jewish and general,Jewish and general,Yes,Yes,,0,5145 S Morgan St,"(47.544225, -122.267717)",47.544225,-122.267717
Between Cultures Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,8809 Roosevelt Way NE Seattle WA 98115,"(47.69239, -122.31763)",47.69239,-122.31763
School of Visual Concepts,(206) 623-1560,www.svcseattle.com,7000,South Lake Union,N,Arts/Cultural Training or Education,1971,R,1920,2014,1971,0,0,0,Y,1200,N,22,N,N,N,,N,,1,,,,,,,0,500 Aurora Ave N Seattle WA 98109,"(47.6233866, -122.3432681)",47.6233866,-122.3432681
Music Center of Northwest,(206) 526-8443,www.mcnw.org,7500,Greenwood,Y,Music,1995,R,1952,2024,1988,1,1,180,N,0,Partial,30,Y,Y,N,,Y,,5,,,,,,,0,901 N 96th St Seattle WA 98103,"(47.6983998, -122.3470479)",47.6983998,-122.3470479
Georgetown Merchants Association,(206) 724-3237,http://georgetownmerchants.org/,,Georgetown,Y,Multi-use,13,Other,1916,0,2003,0,3,0,Y,0,N,,Y,Yes,N,The Georgetown Merchants Association is a non-profit that promotes and supports innovators in applied arts and industry by programming year round cultural activities that reflect the unique character of our historical district.,C,,5,4,General,General,N/A,N/A,,,1201 S. Vale Seattle WA 98168,"(47.548858, -122.31694)",47.548858,-122.31694
Frame Central/North West Framing Cloud Gallery,(206) 720-2054,www.framecentral.com,700,Capitol Hill,,Visual,2011,Other,1900,0,2011,1,0,0,Y,700,N,0,Y,N,N,,N,,4,,,,,,,0,901 E Pike St Seattle WA 98122,"(47.613902, -122.3203375)",47.613902,-122.3203375
Delridge Community Center & Hiawatha,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,2700 California Ave SW Seattle WA 98116,"(47.579173, -122.386637)",47.579173,-122.386637
Roq La Rue Gallery,(206) 374-8977,www.roqlarue.com,1850,Pioneer Square,N,Visual,2012,R,1909,2016,1998,4,0,0,Y,1200,,1,Y,N,,,N,,3,,,,,,,0,532 1st Ave S. Seattle WA 98104,"(47.5974306, -122.3339422)",47.5974306,-122.3339422
University of Washington Art Library,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,101 Art Building University of Washington Seattle WA 98195,"(47.65818, -122.306292)",47.65818,-122.306292
University of Washington School of Music & Brechemin Auditorium,(206) 543-1201,www.music.washington.edu,71904,University District,Government,Arts/Cultural Training or Education,1950,O,1950,,,1,1,220,N,,Partial,0,N,N,N,,N,,5,,,,,,,0,"University of Washington School of Music
  Music Building
  Box 353450
  Seattle WA 98195","(47.655335, -122.30352)",47.655335,-122.30352
Montlake Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,1618 E Calhoun St Seattle WA 98112,"(47.643753, -122.309258)",47.643753,-122.309258
The Josephine and Friends of NW 65th (CLOSED),(206) 543-0065,www.josephinebaker-bonaparte.blogspot.com,,Ballard,Y,Multi-use,,R,1932,,,0,1,600,N,0,N,0,Y,,N,,,,2,,,,,,2015-02-01T00:00:00.000,1,608 NW 65th St Seattle WA 98117,"(47.6762165, -122.3638347)",47.6762165,-122.3638347
Juan Alonso Studio,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,214 1st Ave S Suite B15 Seattle WA 98104,"(47.6004712, -122.333963)",47.6004712,-122.333963
Neumos/Barboza,(206) 709-9442,www.neumos.com,12500,Capitol Hill,N,Music,1993,R,1927,2018,1993,0,2,940,N,0,Partial,0,Y,N,Y,,N,,5,,,,,,,0,925 E Pike St Seattle WA 98122,"(47.613959, -122.319574)",47.613959,-122.319574
Seattle Center Fisher Pavilion,,,,,,Multi-use,,,,,,,,,,,,,,,,,,,,,,,,,,0,298 2nd Ave N Seattle WA 98109,"(47.62084, -122.352825)",47.62084,-122.352825
Stitches,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,711 East Pike St Seattle WA 98122,"(47.61407, -122.323097)",47.61407,-122.323097
High Voltage Music Store,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,910 E Pike St Seattle WA 98122,"(47.614338, -122.320107)",47.614338,-122.320107
Union Cultural Center,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,803 South King St Seattle WA 98104,"(47.5982213, -122.322122)",47.5982213,-122.322122
Impress Cards and Crafts,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,2621 NE Village Lane Seattle WA 98105,"(47.6604, -122.280525)",47.6604,-122.280525
Pipsqueak,,www.pipsqueak.bandcamp.com,700,Central District,,Visual,2013,R,1910,2015,2009,,1,12,Y,600,Partial,,Y,N,N,,N,,3,,,,,,,0,173 16th Ave Seattle WA 98122,"(47.6034343, -122.3115241)",47.6034343,-122.3115241
Parlor Live Seattle,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,1522 6th Ave Seattle WA 98101,"(47.611415, -122.33477)",47.611415,-122.33477
The Market Theater,(206) 587-2414,www.unexpectedproductions.org,4000,Downtown,Y,Performance,1991,R,1890,2023,1983,4,1,220,,,Y,0,Y,Y,Y,,Y,,5,,,,,,,0,1428 Post Alley Seattle WA 98101,"(47.6098589, -122.3417416)",47.6098589,-122.3417416
BJ Montoya Violin Studio,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Sanctuary Art Center,(206) 522-6256,www.sanctuaryartcenter.org,2500,University District,Y,Arts/Cultural Training or Education,1999,R,1942,2016,1999,0,0,0,N,,Y,40,Y,N,N,,Y,,5,,,,,,,0,1604 NE 50th St Seattle WA 98105,"(47.6652885, -122.3104377)",47.6652885,-122.3104377
Gray Sky Gallery,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,320 1st Ave S,"(47.599459, -122.333795)",47.599459,-122.333795
Rendezvous & Jewel Box Theater,(206) 441-5823,www.jewelboxtheater.com,2800,Belltown,N,Performance,2002,O,1927,0,1927,1,2,113,N,0,Y,0,Y,Y,Y,,N,,5,,,,,,,0,2322 2nd Ave Seattle WA 98121,"(47.614714, -122.3462234)",47.614714,-122.3462234
Capitol Music Center,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,1006 NE 50th St Seattle WA 98105,"(47.664948, -122.317176)",47.664948,-122.317176
The Color Group,(206) 281-1630,www.thecolorgroup.com,3000,SODO,N,Visual,2010,R,1971,2020,2000,2,0,0,Y,2500,Y,25,Y,Y,Y,,N,,5,,,,,,,0,1741 4th Ave S Suite B Seattle WA 98134,"(47.586853, -122.329559)",47.586853,-122.329559
"Dreamstrands Comics & Such, Inc.",206-297-3737,www.dreamstrands.com,2000,Greenwood,N,Literary,1999,R,1961,2017,1999,0,0,,N,,Y,6,Y,N,N,,N,,4,,,,,,,0,115 N 85th ST Suite 102 Seattle WA 98103,"(47.69038, -122.357391)",47.69038,-122.357391
Sonic Boom,(206) 297-2666,www.sonicboomrecords.com,2200,Ballard,N,Music,2001,R,1920,2016,1997,4,0,0,N,0,Partial,0,Y,N,N,,N,,4,,,,,,,0,2209 NW Market St Seattle WA 98107,"(47.6685224, -122.3851065)",47.6685224,-122.3851065
Seattle Architecture Foundation,(206) 667-9184,www.seattlearchitecture.org,1200,Downtown,Y,Arts/Cultural Administration or Advocacy,2001,R,1965,It's month to month.,1982,2,0,0,Y,800,,0,N,N,Y,,Y,,2,,,,,,,0,1333 5th Ave # 300 Seattle WA 98101,"(47.6091917, -122.3345412)",47.6091917,-122.3345412
Beadworld,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,9524 Roosevelt Way NE Seattle WA 98115,"(47.698005, -122.317615)",47.698005,-122.317615
Trinity Parish Church,(206) 332-7908,www.theatre912.com,2000,First Hill,N,Performance,2009,R,,,2007,1,1,99,N,0,Y,200,Y,N,N,,N,,4,,,,,,,0,609 8th Ave Seattle WA 98104,"(47.6052251, -122.3262281)",47.6052251,-122.3262281
Seattle University Bookstore,(206) 296-5820,www.seattleucampusstore.com,10000,Capitol Hill,Y,Literary,1891,O,1960,,1891,1,0,,N,,Partial,0,N,N,N,,N,,1,,,,,,,0,823 12th Ave Seattle WA 98122,"(47.6100244, -122.3172211)",47.6100244,-122.3172211
One Reel,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,215 6th Ave N Seattle WA 98109,"(47.619994, -122.345018)",47.619994,-122.345018
AudioLogic,(206) 817-8760,www.audiologicinc.com,1450,Lake City,N,Studios,1993,R,1935,None,1993,0,0,0,N,0,,0,,N,N,,N,,2,,,,,,,0,12047 31st Ave NE Seattle WA 98125,"(47.7170286, -122.2955694)",47.7170286,-122.2955694
Elliott Bay Recording Inc,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,932 12th Ave Seattle WA 98122,"(47.6113827, -122.3164132)",47.6113827,-122.3164132
Ethnic Heritage Art Gallery at Seattle Municipal Tower,(206) 684-7171,http://www.seattle.gov/ethnicartgallery/,,Downtown,Other,Visual,2009,Other,1991,,2009,0,0,0,Y,335,Y,,Y,N,N,,N,,5,,,,,,,0,700 5th Ave Seattle WA 98104,"(47.60501625, -122.3295729)",47.60501625,-122.3295729
Urban Wilderness Project,,,,,,Multi-use,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Seattle Asian Art Museum,(206) 654-3100,www.seattleartmuseum.org/visit/visitSAAM.asp,15000,Capitol Hill,Y,Arts/Cultural Training or Education,1933,O,1933,0,1933,0,1,,Y,,Y,,N,Y,Y,,Y,,5,,,,,,,0,1400 E Prospect St Seattle WA 98112,"(47.63028375, -122.3141998)",47.63028375,-122.3141998
Wall of Sound,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,1205 E Pike St #1C Seattle WA 98122,"(47.613922, -122.316429)",47.613922,-122.316429
